CustomerID,Age,ChurnStatus,Zscore_Genderdiff,Zscore_Age_rangediff,Zscore_MaritalStatusdiff,Zscore_IncomeLeveldiff,Gender_M,Age_range_20-30,Age_range_30-40,Age_range_40-50,Age_range_50-60,Age_range_60+,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,IncomeLevel_Low,IncomeLevel_Medium,Duration_Interation,Markov_Churn_prob,Complaint,Feedback,Inquiry,Resolved,Unresolved,Rolling_7D_Sum,Rolling_7D_0-200,Rolling_7D_200-400,Rolling_7D_400-600,Rolling_7D_600+,Rolling_7D_Books,Rolling_7D_Clothing,Rolling_7D_Electronics,Rolling_7D_Furniture,Rolling_7D_Groceries,Rolling_7D_Furniture_bined_Rolling_7D_Furniture_210,Rolling_7D_Furniture_bined_Rolling_7D_Furniture_210+,Rolling_7D_Electronics_bined_Rolling_7D_Electronics_310,Rolling_7D_Electronics_bined_Rolling_7D_Electronics_360,Rolling_7D_Electronics_bined_Rolling_7D_Electronics_440,Rolling_7D_Electronics_bined_Rolling_7D_Electronics_440+,Rolling_7D_Books_bined_Rolling_7D_Books_220+,Rolling_7D_Books_bined_Rolling_7D_Books_80,Rolling_7D_Groceries_bined_Rolling_7D_Groceries_280,Rolling_7D_Groceries_bined_Rolling_7D_Groceries_320,Rolling_7D_Groceries_bined_Rolling_7D_Groceries_380,Rolling_7D_Groceries_bined_Rolling_7D_Groceries_410+,Rolling_7D_Groceries_bined_Rolling_7D_Groceries_80,Rolling_7D_Clothing_bined_Rolling_7D_Clothing_150+,Rolling_7D_Clothing_bined_Rolling_7D_Clothing_40,LoginFrequency,DaysSinceLastLogin,LoginFrequency_Ratio,ServiceUsage_Online Banking,ServiceUsage_Website,LoginCategory_Medium,LoginCategory_High,LoginCategory_VeryHigh
1,62,0,21.89879621763757,3.071478260869576,0.8601143009037884,33.05130105401849,True,False,False,False,False,True,False,True,False,True,False,0.0,0.1929924212342249,0.0,0.0,1.0,1.0,0.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34,71,0.6938775510204082,False,False,False,True,False
2,65,1,21.89879621763757,3.071478260869576,38.16131641791046,33.05130105401849,True,False,False,False,False,True,True,False,False,True,False,0.0,0.1929924212342249,0.0,0.0,1.0,1.0,0.0,397.37,False,True,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,26,0.10204081632653061,False,True,False,False,False
3,18,0,21.89879621763757,2.2382000000000004,0.8601143009037884,33.05130105401849,True,False,False,False,False,False,False,True,False,True,False,0.0,0.1929924212342249,0.0,0.0,1.0,1.0,0.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,46,0.061224489795918366,False,True,False,False,False
4,21,0,21.89879621763757,-17.03300532544377,-14.640432432432394,33.05130105401849,True,True,False,False,False,False,False,False,True,True,False,138.0,0.1929924212342249,0.0,0.0,2.0,1.0,1.0,241.45,False,True,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,128,0.04081632653061224,False,True,False,False,False
5,21,0,21.89879621763757,-17.03300532544377,-30.394572535514392,-9.421697848511641,True,True,False,False,False,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,41,65,0.8367346938775511,False,True,False,True,False
6,57,0,-23.096539171392866,20.95184062015504,-30.394572535514392,-9.421697848511641,False,False,False,False,True,False,False,False,False,False,True,0.0,0.22918367830826233,0.0,1.0,0.0,1.0,0.0,41.7,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,105,0.04081632653061224,False,True,False,False,False
7,27,0,-23.096539171392866,-17.03300532544377,38.16131641791046,-27.049698105218543,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32,358,0.6530612244897959,False,False,False,True,False
8,37,1,21.89879621763757,-19.06215384615383,0.8601143009037884,33.05130105401849,True,False,True,False,False,False,False,True,False,True,False,137.0,0.209352755963068,0.0,1.0,1.0,0.0,2.0,240.92,False,True,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,253,0.3469387755102041,True,False,True,False,False
9,39,0,21.89879621763757,-19.06215384615383,-30.394572535514392,-27.049698105218543,True,False,True,False,False,False,False,False,False,False,False,0.0,0.1929924212342249,0.0,0.0,1.0,1.0,0.0,325.96,False,True,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24,187,0.4897959183673469,False,True,True,False,False
10,68,1,21.89879621763757,3.071478260869576,38.16131641791046,-27.049698105218543,True,False,False,False,False,True,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.71,False,True,False,False,0.0,0.0,0.0,5.86,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29,352,0.5918367346938775,True,False,False,True,False
11,54,0,21.89879621763757,20.95184062015504,-30.394572535514392,-9.421697848511641,True,False,False,False,True,False,False,False,False,False,True,275.0,0.22918367830826233,0.0,2.0,0.0,1.0,1.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30,343,0.6122448979591837,True,False,False,True,False
12,41,0,-23.096539171392866,6.257337086092729,38.16131641791046,33.05130105401849,False,False,False,True,False,False,True,False,False,True,False,321.0,0.22918367830826233,0.0,1.0,1.0,1.0,1.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,43,0,0.8775510204081632,False,True,False,True,False
13,24,0,-23.096539171392866,-17.03300532544377,-30.394572535514392,33.05130105401849,False,True,False,False,False,False,False,False,False,True,False,0.0,0.1975286889605726,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,179,0.20408163265306123,False,False,False,False,False
14,42,0,21.89879621763757,6.257337086092729,-14.640432432432394,-9.421697848511641,True,False,False,True,False,False,False,False,True,False,True,4.0,0.22918367830826233,1.0,1.0,0.0,1.0,1.0,156.21,True,False,False,False,0.0,0.0,0.0,0.0,156.21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,26,355,0.5306122448979592,True,False,False,True,False
