iter	Passed	Remaining
0	58	5821
1	59	2897
2	59	1927
3	60	1447
4	61	1160
5	61	967
6	62	830
7	62	723
8	63	643
9	64	580
10	64	525
11	65	478
12	65	439
13	66	407
14	67	380
15	67	355
16	68	336
17	69	317
18	71	302
19	71	286
20	72	272
21	72	257
22	73	245
23	73	233
24	74	222
25	74	212
26	75	204
27	75	194
28	76	186
29	76	178
30	77	171
31	77	164
32	77	158
33	78	151
34	78	146
35	79	140
36	79	135
37	80	131
38	81	126
39	81	122
40	82	118
41	82	113
42	82	109
43	83	105
44	83	101
45	83	98
46	83	94
47	85	92
48	85	89
49	86	86
50	86	83
51	87	80
52	87	77
53	87	74
54	88	72
55	88	69
56	89	67
57	90	65
58	90	63
59	91	60
60	91	58
61	91	56
62	92	54
63	92	52
64	93	50
65	93	48
66	93	46
67	94	44
68	94	42
69	95	40
70	95	39
71	96	37
72	96	35
73	96	34
74	97	32
75	98	31
76	98	29
77	99	28
78	100	26
79	100	25
80	100	23
81	101	22
82	101	20
83	102	19
84	102	18
85	104	16
86	105	15
87	105	14
88	106	13
89	107	11
90	107	10
91	108	9
92	108	8
93	108	6
94	109	5
95	109	4
96	110	3
97	110	2
98	111	1
99	111	0
